Exe Level ,Body Portion,Exercise Name,Weight (lbs),Sets Comp,Diff/ T,Progress (target)
Beginner,Upper Body,Bent Over Row,0,3,Hard,No
Pro,Lower Body,Box Jump,10,1,Moderate,No
Moderate,Lower Body,Weighted Lunges,30,4,Moderate,No
Pro,Whole Body,Burpee Pull up,30,4,Hard,No
Pro,Upper Body,Reverse Grip Curls,0,1,Hard,No
Pro,Whole Body,Hanging Knee To Chest,20,4,Hard,No
Advanced,Lower Body,Goblet Squat,30,4,Moderate,No
Pro,Upper Body,Forearm Curls,30,4,Moderate,No
Advanced,Whole Body,Mountain Climbers,10,5,Easy,No
Advanced,Upper Body,Chin Ups,10,6,Easy,Yes
Pro,Lower Body,Box Jump,10,3,Moderate,No
Beginner,Whole Body,Plank,0,5,Moderate,Yes
Advanced,Upper Body,Upright Row,0,2,Hard,No
Beginner,Whole Body,Plank,30,1,Hard,No
Pro,Whole Body,Hanging Leg Raises,10,3,Hard,No
Beginner,Lower Body,Jumping Jacks,30,7,Hard,No
Advanced,Upper Body,Chin Ups,10,5,Moderate,Yes
Beginner,Upper Body,Bicep Curls,30,4,Easy,Yes
Beginner,Lower Body,Jumping Jacks,20,2,Moderate,No
Pro,Upper Body,Pull ups Bicep Grip,10,7,Hard,No
Advanced,Upper Body,Shoulder Flys,0,4,Moderate,No
Pro,Upper Body,Pull ups Wide Grip,30,5,Easy,Yes
Advanced,Lower Body,Romanian Deadlift,30,1,Moderate,No
Pro,Whole Body,Hanging Knee To Chest,10,5,Easy,Yes
Pro,Upper Body,Reverse Grip Curls,10,5,Hard,No
Advanced,Upper Body,Shoulder Flys,10,1,Moderate,No
Beginner,Lower Body,Jumping Jacks,30,5,Moderate,Yes
Beginner,Whole Body,Dead Bug,10,4,Moderate,No
Moderate,Upper Body,Decline Tricep Dips,10,1,Moderate,No
Moderate,Upper Body,Decline Tricep Dips,30,1,Moderate,No
Advanced,Lower Body,Squat Jump,10,1,Hard,No
Pro,Upper Body,Skull Crushers,20,1,Easy,No
Beginner,Whole Body,Dead Bug,10,1,Moderate,No
Moderate,Upper Body,Hammer Curls,10,5,Easy,No
Advanced,Upper Body,Shoulder Flys,10,5,Hard,No
