,Progress (target)
0,No
1,No
2,No
3,No
4,No
5,No
6,No
7,No
8,No
9,Yes
10,No
11,Yes
12,No
13,No
14,No
15,No
16,Yes
17,Yes
18,No
19,No
20,No
21,Yes
22,No
23,Yes
24,No
25,No
26,Yes
27,No
28,No
29,No
30,No
31,No
32,No
33,No
34,No
35,No
36,No
37,No
38,Yes
39,Yes
40,Yes
41,Yes
42,No
43,No
44,No
45,Yes
46,No
47,No
48,Yes
49,Yes
50,Yes
51,Yes
52,No
53,Yes
54,No
55,No
56,No
57,No
58,No
59,Yes
60,No
61,No
62,No
63,Yes
64,No
65,Yes
66,No
67,No
68,No
69,Yes
70,No
71,No
72,Yes
73,No
74,No
75,Yes
76,Yes
77,Yes
78,Yes
79,Yes
80,Yes
81,No
82,Yes
83,No
84,No
85,Yes
86,No
87,No
88,Yes
89,No
90,Yes
91,Yes
92,Yes
93,No
94,No
95,No
96,No
97,No
98,No
99,No
100,No
101,No
102,No
103,No
104,No
105,No
106,No
107,Yes
108,No
109,Yes
110,No
111,No
112,Yes
113,Yes
114,No
115,No
116,Yes
117,No
118,Yes
119,No
120,Yes
121,No
122,No
123,No
124,No
125,No
126,Yes
127,No
128,No
129,Yes
130,No
131,Yes
132,No
133,No
134,No
135,No
136,No
137,Yes
138,No
139,No
140,No
141,No
142,No
143,No
144,No
145,No
146,No
147,No
148,No
149,Yes
150,No
151,No
152,No
153,No
154,No
155,Yes
156,No
157,No
158,Yes
159,No
160,No
161,No
162,Yes
163,Yes
164,No
165,No
166,No
167,No
168,Yes
169,No
170,Yes
171,Yes
172,No
173,Yes
174,No
175,Yes
176,No
177,Yes
178,No
179,No
180,No
181,No
182,No
183,Yes
184,No
185,No
186,No
187,No
188,No
189,No
190,No
191,No
192,No
193,No
194,No
195,Yes
196,No
197,Yes
198,Yes
199,No
200,Yes
201,Yes
202,No
203,No
204,No
205,No
206,Yes
207,No
208,Yes
209,No
210,No
211,No
212,No
213,No
214,No
215,Yes
216,No
217,Yes
218,No
219,Yes
220,No
221,No
222,Yes
223,No
224,No
225,Yes
226,Yes
227,No
228,No
229,No
230,No
231,No
232,No
233,No
234,No
235,No
236,No
237,No
238,Yes
239,No
240,Yes
241,No
242,No
243,Yes
244,Yes
245,Yes
246,No
247,No
248,Yes
249,No
250,No
251,No
252,No
253,No
254,Yes
255,Yes
256,No
257,No
258,No
259,No
260,Yes
261,Yes
262,Yes
263,No
264,No
265,No
266,Yes
267,No
268,Yes
269,Yes
270,Yes
271,No
272,No
273,No
274,No
275,No
276,No
277,Yes
278,No
279,Yes
280,No
281,No
282,No
283,No
284,No
285,Yes
286,Yes
287,No
288,Yes
289,Yes
290,No
291,No
292,No
293,No
294,No
295,No
296,Yes
297,No
298,No
299,Yes
300,No
301,No
302,No
303,No
304,No
305,No
306,No
307,Yes
308,Yes
309,No
310,No
311,No
312,No
313,No
314,Yes
315,No
316,Yes
317,No
318,Yes
319,No
320,No
321,No
322,Yes
323,No
324,No
325,Yes
326,Yes
327,No
328,Yes
329,No
330,No
331,No
332,No
333,Yes
334,No
335,No
336,No
337,No
338,Yes
339,Yes
340,Yes
341,Yes
342,No
343,No
344,Yes
345,No
346,Yes
347,No
348,Yes
349,No
350,No
351,Yes
352,Yes
353,Yes
354,Yes
355,Yes
356,Yes
357,No
358,No
359,No
360,No
361,No
362,Yes
363,No
364,Yes
365,Yes
366,Yes
367,No
368,No
369,No
370,No
371,No
372,No
373,No
374,Yes
375,No
376,No
377,No
378,No
379,Yes
380,No
381,No
382,No
383,Yes
384,Yes
385,No
386,No
387,Yes
388,No
389,No
390,Yes
391,No
392,No
393,No
394,No
395,No
396,No
397,Yes
398,No
399,No
400,No
401,No
402,No
403,Yes
404,Yes
405,No
406,No
407,No
408,No
409,No
410,No
411,No
412,No
413,Yes
414,No
415,Yes
416,Yes
417,No
418,No
419,No
420,Yes
421,No
422,No
423,No
424,Yes
425,No
426,Yes
427,No
428,Yes
429,No
430,No
431,No
432,No
433,Yes
434,No
435,No
436,Yes
437,No
438,Yes
439,Yes
440,No
441,No
442,No
443,No
444,No
445,No
446,Yes
447,Yes
448,No
449,Yes
450,Yes
451,No
452,No
453,No
454,No
455,No
456,No
457,No
458,No
459,No
460,No
461,No
462,No
463,Yes
464,Yes
465,Yes
466,Yes
467,No
468,No
469,No
470,No
471,No
472,No
473,No
474,Yes
475,No
476,No
477,No
478,No
479,Yes
480,Yes
481,Yes
482,Yes
483,No
484,No
485,Yes
486,No
487,Yes
488,No
489,No
490,No
491,Yes
492,No
493,No
494,No
495,No
496,No
497,No
498,No
499,No
500,No
501,No
502,No
503,Yes
504,No
505,Yes
506,No
507,No
508,No
509,Yes
510,Yes
511,Yes
512,No
513,No
514,No
515,No
516,No
517,Yes
518,No
519,No
520,No
521,No
522,No
523,No
524,No
525,Yes
526,No
527,No
528,Yes
529,No
530,Yes
531,No
532,No
533,No
534,Yes
535,No
536,No
537,No
538,No
539,Yes
540,No
541,No
542,No
543,No
544,No
545,No
546,No
547,Yes
548,No
549,No
550,No
551,No
552,No
553,No
554,No
555,Yes
556,No
557,No
558,No
559,No
560,No
561,No
562,Yes
563,Yes
564,Yes
565,No
566,Yes
567,No
568,No
569,No
570,No
571,No
572,Yes
573,No
574,No
575,No
576,No
577,No
578,Yes
579,No
580,No
581,Yes
582,Yes
583,No
584,No
585,No
586,No
587,No
588,Yes
589,No
590,No
591,No
592,No
593,Yes
594,No
595,No
596,Yes
597,Yes
598,No
599,Yes
600,No
601,No
602,No
603,Yes
604,No
605,No
606,Yes
607,No
608,Yes
609,Yes
610,No
611,No
612,No
613,No
614,Yes
615,Yes
616,No
617,No
618,No
619,No
620,No
621,Yes
622,No
623,No
624,Yes
625,No
626,No
627,No
628,Yes
629,No
630,No
631,No
632,Yes
633,No
634,No
635,No
636,No
637,No
638,No
639,No
640,Yes
641,No
642,No
643,No
644,Yes
645,No
646,Yes
647,No
648,No
649,No
650,No
651,No
652,No
653,No
654,No
655,Yes
656,Yes
657,No
658,No
659,No
660,No
661,Yes
662,Yes
663,No
664,Yes
665,No
666,No
667,No
668,No
669,No
670,Yes
671,No
672,Yes
673,Yes
674,No
675,No
676,No
677,Yes
678,No
679,Yes
680,No
681,Yes
682,Yes
683,Yes
684,No
685,Yes
686,No
687,No
688,No
689,No
690,No
691,No
692,Yes
693,No
694,No
695,No
696,No
697,No
698,No
699,No
700,No
701,No
702,No
703,No
704,No
705,Yes
706,Yes
707,No
708,Yes
709,No
710,No
711,No
712,Yes
713,No
714,No
715,No
716,Yes
717,Yes
718,No
719,No
720,No
721,No
722,No
723,No
724,No
725,No
726,Yes
727,No
728,No
729,No
730,No
731,No
732,No
733,Yes
734,No
735,Yes
736,Yes
737,No
738,No
739,Yes
740,No
741,Yes
742,Yes
743,No
744,Yes
745,No
746,No
747,No
748,Yes
749,No
750,No
751,No
752,Yes
753,Yes
754,Yes
755,No
756,No
757,Yes
758,No
759,No
760,No
761,No
762,Yes
763,Yes
764,Yes
765,No
766,No
767,No
768,No
769,No
770,No
771,No
772,Yes
773,No
774,No
775,No
776,Yes
777,No
778,No
779,No
780,No
781,Yes
782,Yes
783,No
784,No
785,Yes
786,Yes
787,No
788,Yes
789,Yes
790,No
791,Yes
792,No
793,No
794,No
795,Yes
796,Yes
797,No
798,No
799,Yes
800,Yes
801,Yes
802,No
803,No
804,Yes
805,No
806,No
807,No
808,No
809,No
810,Yes
811,No
812,No
813,Yes
814,Yes
815,No
816,No
817,No
818,Yes
819,No
820,No
821,No
822,No
823,Yes
824,No
825,No
826,No
827,Yes
828,No
829,Yes
830,Yes
831,No
832,No
833,No
834,No
835,No
836,No
837,No
838,No
839,No
840,Yes
841,Yes
842,No
843,No
844,Yes
845,No
846,No
847,Yes
848,No
849,Yes
850,No
851,No
852,No
853,No
854,No
855,Yes
856,Yes
857,Yes
858,Yes
859,No
860,No
861,Yes
862,Yes
863,Yes
864,No
865,Yes
866,No
867,No
868,Yes
869,No
870,No
871,No
872,No
873,Yes
874,No
875,No
876,No
877,Yes
878,Yes
879,No
880,No
881,Yes
882,No
883,No
884,No
885,No
886,No
887,Yes
888,Yes
889,Yes
890,Yes
891,No
892,No
893,No
894,Yes
895,No
896,No
897,No
898,No
899,Yes
900,No
901,Yes
902,No
903,Yes
904,Yes
905,No
906,Yes
907,No
908,Yes
909,Yes
910,No
911,Yes
912,No
913,No
914,No
915,No
916,No
917,Yes
918,Yes
919,No
920,Yes
921,No
922,No
923,Yes
924,No
925,No
926,No
927,No
928,Yes
929,No
930,Yes
931,Yes
932,Yes
933,No
